"Anatomical Structures, Cell Types and Biomarkers (ASCT+B) Tables to 3D Reference Object Library Mapping v1.2",,,,,,
,,,,,,
Author Name(s):,"Ellen M. Quardokus;  Heidi Schlehlein; Bruce Herr, II; Katy Borner",,,,,
Author ORCID(s):,"0000-0001-7655-4833; 0000-0002-3333-5646;  0000-0002-8977-498X, 0000-0002-6703-7647, 0000-0002-3321-6137",,,,,
Reviewer(s):,,,,,,
Reviewer ORCID(s):,,,,,,
General Publication(s):,"Börner, Katy, Sarah A. Teichmann, Ellen M. Quardokus, James C. Gee, Kristen Browne, David Osumi-Sutherland, Bruce W. Herr, et al. 2021. “Anatomical Structures, Cell Types and Biomarkers of the Human Reference Atlas.” Nature Cell Biology 23 (11): 1117–28. https://doi.org/10.1038/s41556-021-00788-6.",,,,,
Data DOI:,https://doi.org/10.48539/HBM858.DNFV.736,,,,,
Date:,5/6/2022,,,,,
Version Number:,v1.2,,,,,
anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,glb file of single organs
#VHFAllenBrain,#VHFemaleOrgans,Allen_middle_frontal_gyrus_L,middle frontal gyrus,UBERON:0002702,http://purl.obolibrary.org/obo/UBERON_0002702,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_frontal_gyrus_triangular_part_L,triangular part of inferior frontal gyrus,UBERON:0002629,http://purl.obolibrary.org/obo/UBERON_0002629,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_inferior_frontal_gyrus_opercular_part_L,opercular part of inferior frontal gyrus,UBERON:0002980,http://purl.obolibrary.org/obo/UBERON_0002980,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_gyrus_rectus_straight_gyrus_L,gyrus rectus,UBERON:0004671,http://purl.obolibrary.org/obo/UBERON_0004671,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_medial_orbital_gyrus_L,medial orbital gyrus,UBERON:0002570,http://purl.obolibrary.org/obo/UBERON_0002570,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_anterior_intermediate_orbital_gyrus_L,intermediate orbital gyrus,UBERON:0002644,http://purl.obolibrary.org/obo/UBERON_0002644,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_posterior_intermediate_orbital_gyrus_L,intermediate orbital gyrus,UBERON:0002644,http://purl.obolibrary.org/obo/UBERON_0002644,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_lateral_orbital_gyrus_L,lateral orbital gyrus,UBERON:0002564,http://purl.obolibrary.org/obo/UBERON_0002564,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_paracentral_lobule_rostral_part_L,anterior segment of paracentral lobule,UBERON:0035932,http://purl.obolibrary.org/obo/UBERON_0035932,Allen_F_Brain
#VHFAllenBrain,#VHFemaleOrgans,Allen_frontal_operculum_L,frontal operculum,UBERON:0002947,http://purl.obolibrary.org/obo/UBERON_0002947,Allen_F_Brain
